Ticker,Gemini,Coinbase,Kraken,Cryptodotcom,Kucoin
BAKEUSDT,0,0,0,0,1
BALUSDT,0,0,0,0,1
BANDUSDT,0,0,0,0,1
BATUSDT,0,0,0,0,1
BAXUSDT,0,0,0,0,1
BCH3LUSDT,0,0,0,0,1
BCH3SUSDT,0,0,0,0,1
BSVUSDT,0,0,0,0,1
BEPROUSDT,0,0,0,0,1
BMONUSDT,0,0,0,0,1
BNBUSDT,0,0,0,0,1
BNB3LUSDT,0,0,0,0,1
BNB3SUSDT,0,0,0,0,1
BNSUSDT,0,0,0,0,1
BNTUSDT,0,0,0,0,1
BOAUSDT,0,0,0,0,1
BOLTUSDT,0,0,0,0,1
BONDUSDT,0,0,0,0,1
BONDLYUSDT,0,0,0,0,1
BOSONUSDT,0,0,0,0,1
BTC3LUSDT,0,0,0,0,1
BULLUSDT,0,0,0,0,1
BURGERUSDT,0,0,0,0,1
BURPUSDT,0,0,0,0,1
BUXUSDT,0,0,0,0,1
BUYUSDT,0,0,0,0,1
C98USDT,0,0,0,0,1
CAKEUSDT,0,0,0,0,1
CARDUSDT,0,0,0,0,1
CARRUSDT,0,0,0,0,1
CASUSDT,0,0,0,0,1
CBCUSDT,0,0,0,0,1
CELOUSDT,0,0,0,0,1
CEREUSDT,0,0,0,0,1
CEURUSDT,0,0,0,0,1
CFGUSDT,0,0,0,0,1
CGGUSDT,0,0,0,0,1
CHMBUSDT,0,0,0,0,1
CHRUSDT,0,0,0,0,1
CHZUSDT,0,0,0,0,1
CIX100USDT,0,0,0,0,1
CKBUSDT,0,0,0,0,1
CLHUSDT,0,0,0,0,1
CLVUSDT,0,0,0,0,1
COMPUSDT,0,0,0,0,1
COTIUSDT,0,0,0,0,1
COVUSDT,0,0,0,0,1
CPOOLUSDT,0,0,0,0,1
CQTUSDT,0,0,0,0,1
CREAMUSDT,0,0,0,0,1
CREDIUSDT,0,0,0,0,1
CRPTUSDT,0,0,0,0,1
CRVUSDT,0,0,0,0,1
CTCUSDT,0,0,0,0,1
CTIUSDT,0,0,0,0,1
CTSIUSDT,0,0,0,0,1
CUDOSUSDT,0,0,0,0,1
cUSDUSDT,0,0,0,0,1
CWARUSDT,0,0,0,0,1
CWEBUSDT,0,0,0,0,1
CWSUSDT,0,0,0,0,1
DAGUSDT,0,0,0,0,1
DAOUSDT,0,0,0,0,1
DAPPTUSDT,0,0,0,0,1
DAPPXUSDT,0,0,0,0,1
DASHUSDT,0,0,0,0,1
DATAUSDT,0,0,0,0,1
DEGOUSDT,0,0,0,0,1
DEROUSDT,0,0,0,0,1
DEXEUSDT,0,0,0,0,1
DFIUSDT,0,0,0,0,1
DFYNUSDT,0,0,0,0,1
DGBUSDT,0,0,0,0,1
DIAUSDT,0,0,0,0,1
DINOUSDT,0,0,0,0,1
DIVIUSDT,0,0,0,0,1
DMTRUSDT,0,0,0,0,1
DOGE3LUSDT,0,0,0,0,1
DOGE3SUSDT,0,0,0,0,1
DORAUSDT,0,0,0,0,1
DOT3LUSDT,0,0,0,0,1
DOT3SUSDT,0,0,0,0,1
DPETUSDT,0,0,0,0,1
DPIUSDT,0,0,0,0,1
DPRUSDT,0,0,0,0,1
DREAMSUSDT,0,0,0,0,1
DSLAUSDT,0,0,0,0,1
DVPNUSDT,0,0,0,0,1
DYDXUSDT,0,0,0,0,1
DYPUSDT,0,0,0,0,1
EDGUSDT,0,0,0,0,1
EFXUSDT,0,0,0,0,1
ELAUSDT,0,0,0,0,1
ELONUSDT,0,0,0,0,1
ENJUSDT,0,0,0,0,1
ENQUSDT,0,0,0,0,1
EOSUSDT,0,0,0,0,1
EOS3LUSDT,0,0,0,0,1
EOS3SUSDT,0,0,0,0,1
EOSCUSDT,0,0,0,0,1
EPIKUSDT,0,0,0,0,1
EPSUSDT,0,0,0,0,1
EQXUSDT,0,0,0,0,1
EQZUSDT,0,0,0,0,1
ERGUSDT,0,0,0,0,1
ERNUSDT,0,0,0,0,1
ERSDLUSDT,0,0,0,0,1
ERTHAUSDT,0,0,0,0,1
ETH3LUSDT,0,0,0,0,1
ETH3SUSDT,0,0,0,0,1
ETHOUSDT,0,0,0,0,1
ETNUSDT,0,0,0,0,1
EWTUSDT,0,0,0,0,1
EXRDUSDT,0,0,0,0,1
FCLUSDT,0,0,0,0,1
FCONUSDT,0,0,0,0,1
FEARUSDT,0,0,0,0,1
FKXUSDT,0,0,0,0,1
FLAMEUSDT,0,0,0,0,1
FLOWUSDT,0,0,0,0,1
FLyUSDT,0,0,0,0,1
FORESTPLUSUSDT,0,0,0,0,1
FORMUSDT,0,0,0,0,1
FORTHUSDT,0,0,0,0,1
FRMUSDT,0,0,0,0,1
FRONTUSDT,0,0,0,0,1
FRRUSDT,0,0,0,0,1
FTGUSDT,0,0,0,0,1
FTM3LUSDT,0,0,0,0,1
FTM3SUSDT,0,0,0,0,1
FXSUSDT,0,0,0,0,1
GAFIUSDT,0,0,0,0,1
GALAX3LUSDT,0,0,0,0,1
GARIUSDT,0,0,0,0,1
GASUSDT,0,0,0,0,1
GEEQUSDT,0,0,0,0,1
GENSUSDT,0,0,0,0,1
GGGUSDT,0,0,0,0,1
GHSTUSDT,0,0,0,0,1
GHXUSDT,0,0,0,0,1
